"Phase","Timestamp start","Timestamp end"
"1","1645505899012","1645505900203"
"1","1645505899012","1645505900234"
"1","1645505899012","1645505900239"
"1","1645505899012","1645505900240"
"1","1645505899012","1645505900253"
"1","1645505899012","1645505900254"
"1","1645505899012","1645505900261"
"1","1645505899012","1645505900263"
"1","1645505899012","1645505900282"
"1","1645505899013","1645505900284"
"1","1645505899014","1645505900288"
"1","1645505899014","1645505900310"
"1","1645505899020","1645505900329"
"1","1645505899020","1645505900379"
"1","1645505899020","1645505900402"
"1","1645505899020","1645505900419"
"1","1645505899022","1645505900429"
"1","1645505899022","1645505900444"
"1","1645505899023","1645505900460"
"1","1645505899024","1645505900464"
"1","1645505899024","1645505900466"
"1","1645505899025","1645505900471"
"1","1645505899025","1645505900480"
"1","1645505899030","1645505900491"
"1","1645505899030","1645505900561"
"1","1645505899031","1645505900580"
"1","1645505899032","1645505900589"
"1","1645505899032","1645505900595"
"1","1645505899032","1645505900597"
"1","1645505899033","1645505900598"
"1","1645505899033","1645505900606"
"1","1645505899033","1645505900608"
"1","1645505899033","1645505900627"
"1","1645505899034","1645505900628"
"1","1645505899034","1645505900637"
"1","1645505899035","1645505900641"
"1","1645505899035","1645505900643"
"1","1645505899035","1645505900643"
"1","1645505899036","1645505900645"
"1","1645505899036","1645505900648"
"1","1645505899036","1645505900649"
"1","1645505899037","1645505900649"
"1","1645505899037","1645505900651"
"1","1645505899037","1645505900654"
"1","1645505899038","1645505900657"
"1","1645505899039","1645505900674"
"1","1645505899039","1645505900675"
"1","1645505899040","1645505900678"
"1","1645505899041","1645505900684"
"1","1645505899041","1645505900705"
"1","1645505899041","1645505900706"
"1","1645505899042","1645505900728"
"1","1645505899042","1645505900801"
"1","1645505899042","1645505900812"
"1","1645505899042","1645505900838"
"1","1645505899043","1645505901571"
"1","1645505899044","1645505901571"
"1","1645505899044","1645505901578"
"1","1645505899044","1645505901595"
"1","1645505899044","1645505901599"
"1","1645505899045","1645505901606"
"1","1645505899045","1645505901634"
"1","1645505899046","1645505901643"
"1","1645505899046","1645505901651"
"1","1645505899047","1645505901651"
"1","1645505899047","1645505901651"
"1","1645505899047","1645505901654"
"1","1645505899047","1645505901679"
"1","1645505899048","1645505901682"
"1","1645505899048","1645505901682"
"1","1645505899048","1645505901693"
"1","1645505899050","1645505901695"
"1","1645505899051","1645505901695"
"1","1645505899052","1645505901699"
"1","1645505899053","1645505901700"
"1","1645505899055","1645505901703"
"1","1645505899066","1645505901719"
"1","1645505899077","1645505901721"
"1","1645505899078","1645505901732"
"1","1645505899079","1645505901732"
"1","1645505899081","1645505901733"
"1","1645505899082","1645505901734"
"1","1645505899082","1645505901734"
"1","1645505899084","1645505901736"
"1","1645505899085","1645505901736"
"1","1645505899085","1645505901737"
"1","1645505899086","1645505901737"
"1","1645505899087","1645505901740"
"1","1645505899088","1645505901740"
"1","1645505899106","1645505901741"
"1","1645505899107","1645505901746"
"1","1645505899108","1645505901746"
"1","1645505899110","1645505901748"
"1","1645505899111","1645505901748"
"1","1645505899112","1645505901750"
"1","1645505899114","1645505901753"
"1","1645505899116","1645505901753"
"1","1645505899117","1645505901753"
"1","1645505899118","1645505901756"
"1","1645505899119","1645505901756"
"1","1645505899119","1645505901765"
"1","1645505899120","1645505901768"
"1","1645505899120","1645505901774"
"1","1645505899121","1645505901775"
"1","1645505899121","1645505901779"
"1","1645505899123","1645505901784"
"1","1645505899123","1645505901786"
"1","1645505899124","1645505901786"
"1","1645505899124","1645505901788"
"1","1645505899125","1645505901788"
"1","1645505899125","1645505901791"
"1","1645505899125","1645505901791"
"1","1645505899125","1645505901791"
"1","1645505899125","1645505901791"
"1","1645505899125","1645505901794"
"1","1645505899126","1645505901794"
"1","1645505899126","1645505901797"
"1","1645505899126","1645505901798"
