"Phase","Timestamp start","Timestamp end"
"1","1645552491241","1645552496042"
"1","1645552491241","1645552496042"
"1","1645552491241","1645552496042"
"1","1645552491241","1645552496044"
"1","1645552491241","1645552496046"
"1","1645552491241","1645552496085"
"1","1645552491242","1645552496106"
"1","1645552491242","1645552496143"
"1","1645552491242","1645552496148"
"1","1645552491242","1645552496174"
"1","1645552491242","1645552496175"
"1","1645552491243","1645552496179"
"1","1645552491251","1645552496185"
"1","1645552491252","1645552496189"
"1","1645552491253","1645552496193"
"1","1645552491254","1645552496194"
"1","1645552491257","1645552496195"
"1","1645552491257","1645552496200"
"1","1645552491265","1645552496200"
"1","1645552491265","1645552496203"
"1","1645552491266","1645552496204"
"1","1645552491268","1645552496204"
"1","1645552491269","1645552496205"
"1","1645552491274","1645552496208"
"1","1645552491284","1645552496213"
"1","1645552491286","1645552496218"
"1","1645552491287","1645552496222"
"1","1645552491287","1645552496223"
"1","1645552491290","1645552496226"
"1","1645552491291","1645552496227"
"1","1645552491291","1645552496227"
"1","1645552491292","1645552496228"
"1","1645552491294","1645552496228"
"1","1645552491294","1645552496233"
"1","1645552491295","1645552496236"
"1","1645552491296","1645552496239"
"1","1645552491297","1645552496240"
"1","1645552491297","1645552496241"
"1","1645552491298","1645552496244"
"1","1645552491299","1645552496250"
"1","1645552491300","1645552496250"
"1","1645552491301","1645552496251"
"1","1645552491302","1645552496251"
"1","1645552491303","1645552496254"
"1","1645552491312","1645552496255"
"1","1645552491314","1645552496262"
"1","1645552491316","1645552496262"
"1","1645552491317","1645552496263"
"1","1645552491318","1645552496268"
"1","1645552491318","1645552496268"
"1","1645552491319","1645552496271"
"1","1645552491319","1645552496271"
"1","1645552491319","1645552496273"
"1","1645552491320","1645552496273"
"1","1645552491321","1645552496274"
"1","1645552491321","1645552496276"
"1","1645552491326","1645552496278"
"1","1645552491327","1645552496280"
"1","1645552491327","1645552496280"
"1","1645552491328","1645552496280"
"1","1645552491329","1645552496281"
"1","1645552491330","1645552496282"
"1","1645552491330","1645552496283"
"1","1645552491330","1645552496284"
"1","1645552491330","1645552496284"
"1","1645552491331","1645552496291"
"1","1645552491331","1645552496293"
"1","1645552491331","1645552496299"
"1","1645552491333","1645552496300"
"1","1645552491333","1645552496301"
"1","1645552491335","1645552496309"
"1","1645552491336","1645552496310"
"1","1645552491337","1645552496310"
"1","1645552491338","1645552496321"
"1","1645552491338","1645552496322"
"1","1645552491338","1645552496322"
"1","1645552491339","1645552496324"
"1","1645552491339","1645552496324"
"1","1645552491340","1645552496326"
"1","1645552491340","1645552496327"
"1","1645552491340","1645552496329"
"1","1645552491341","1645552496329"
"1","1645552491341","1645552496338"
"1","1645552491342","1645552496340"
"1","1645552491342","1645552496342"
"1","1645552491343","1645552496346"
"1","1645552491343","1645552496347"
"1","1645552491344","1645552496352"
"1","1645552491345","1645552496354"
"1","1645552491346","1645552496354"
"1","1645552491346","1645552496355"
"1","1645552491347","1645552496355"
"1","1645552491347","1645552496356"
"1","1645552491348","1645552496358"
"1","1645552491348","1645552496358"
"1","1645552491348","1645552496359"
"1","1645552491349","1645552496360"
"1","1645552491349","1645552496360"
"1","1645552491350","1645552496361"
"1","1645552491350","1645552496362"
"1","1645552491350","1645552496362"
"1","1645552491350","1645552496362"
"1","1645552491351","1645552496364"
"1","1645552491351","1645552496365"
"1","1645552491351","1645552496368"
"1","1645552491352","1645552496372"
"1","1645552491353","1645552496373"
"1","1645552491355","1645552496379"
"1","1645552491356","1645552496383"
"1","1645552491357","1645552496389"
"1","1645552491358","1645552496417"
"1","1645552491360","1645552496418"
"1","1645552491362","1645552496422"
"1","1645552491363","1645552496424"
"1","1645552491364","1645552496424"
"1","1645552491365","1645552496436"
"1","1645552491365","1645552496439"
"1","1645552491365","1645552496444"
"1","1645552491366","1645552496448"
"1","1645552491366","1645552496454"
"1","1645552491367","1645552496454"
"1","1645552491368","1645552496455"
"1","1645552491368","1645552496456"
"1","1645552491369","1645552496460"
"1","1645552491371","1645552496472"
"1","1645552491372","1645552496472"
"1","1645552491372","1645552496475"
"1","1645552491373","1645552496475"
"1","1645552491374","1645552496476"
"1","1645552491375","1645552496492"
"1","1645552491376","1645552496496"
"1","1645552491377","1645552496496"
"1","1645552491380","1645552496498"
"1","1645552491381","1645552496498"
"1","1645552491382","1645552496504"
"1","1645552491382","1645552496505"
"1","1645552491383","1645552496506"
"1","1645552491383","1645552496508"
"1","1645552491385","1645552496512"
"1","1645552491385","1645552496513"
"1","1645552491386","1645552496514"
"1","1645552491386","1645552496516"
"1","1645552491386","1645552496516"
"1","1645552491387","1645552496517"
"1","1645552491387","1645552496518"
"1","1645552491387","1645552496519"
"1","1645552491389","1645552496519"
"1","1645552491390","1645552496520"
"1","1645552491391","1645552496521"
"1","1645552491392","1645552496521"
"1","1645552491393","1645552496522"
"1","1645552491393","1645552496527"
"1","1645552491394","1645552496530"
"1","1645552491394","1645552496534"
"1","1645552491394","1645552496541"
"1","1645552491394","1645552496542"
"1","1645552491395","1645552496546"
"1","1645552491395","1645552496546"
"1","1645552491395","1645552496549"
"1","1645552491396","1645552496550"
"1","1645552491396","1645552496550"
"1","1645552491396","1645552496552"
"1","1645552491397","1645552496553"
"1","1645552491397","1645552496601"
"1","1645552491397","1645552496602"
"1","1645552491397","1645552496604"
"1","1645552491398","1645552496605"
"1","1645552491398","1645552496605"
"1","1645552491398","1645552496605"
"1","1645552491399","1645552496606"
"1","1645552491400","1645552496606"
"1","1645552491400","1645552496608"
"1","1645552491400","1645552496617"
"1","1645552491400","1645552496632"
"1","1645552491401","1645552496632"
"1","1645552491401","1645552496633"
"1","1645552491401","1645552496633"
"1","1645552491402","1645552496634"
"1","1645552491402","1645552496634"
"1","1645552491402","1645552496636"
"1","1645552491402","1645552496636"
"1","1645552491403","1645552496639"
"1","1645552491403","1645552496643"
"1","1645552491403","1645552496647"
"1","1645552491404","1645552496648"
"1","1645552491404","1645552496648"
